ip,commands,unique,severity_old,severity_new,intensity,diversity,total_old,total_new,risk_level_old,risk_level_new,persistence_backdoor_hits,dropper_execution_hits,successful_logins,commands_per_login,activity_span_minutes,max_commands_5s,max_commands_1min,burst_10plus_5s,temporal_level,mitigation_decision_old,mitigation_decision_new
87.121.84.47,42,1,0.0,0.0,2.0544,0.0,2.0544,2.0544,LOW,LOW,0,0,42,1.0,225.55465048154196,1,1,0,NORMAL,NO_ACTION,NO_ACTION
40.81.244.142,42,1,0.0,1.9625,2.0544,0.0,2.0544,4.0169,LOW,MEDIUM,43,0,44,0.9545454545454546,51563.48112660249,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
135.235.138.43,42,1,0.0,1.9625,2.0544,0.0,2.0544,4.0169,LOW,MEDIUM,43,0,46,0.9130434782608695,126439.35933760008,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
198.98.55.71,42,1,0.0,1.9625,2.0544,0.0,2.0544,4.0169,LOW,MEDIUM,43,0,46,0.9130434782608695,63012.87272881667,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
101.47.159.125,42,1,0.0,1.9738,2.0544,0.0,2.0544,4.0282,LOW,MEDIUM,45,0,43,0.9767441860465116,7409.999116031328,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
14.103.123.8,6,4,0.0,1.3526,0.8782,1.1688,2.0471,3.3996,LOW,LOW,3,0,1,6.0,0.3496807813644409,4,6,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
14.103.117.75,6,4,0.0,1.3526,0.8782,1.1688,2.0471,3.3996,LOW,LOW,3,0,2,3.0,0.5029226024945577,3,6,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
182.8.193.136,4,3,0.3199,0.3199,0.7213,1.0,2.0411,2.0411,LOW,LOW,0,0,2,2.0,0.3767303148905436,1,4,0,NORMAL,NO_ACTION,NO_ACTION
59.103.37.61,41,1,0.0,0.0,2.0187,0.0,2.0187,2.0187,LOW,LOW,0,0,41,1.0,33571.47808549801,1,1,0,NORMAL,NO_ACTION,NO_ACTION
151.115.53.210,29,1,0.4663,0.4663,1.544,0.0,2.0102,2.0102,LOW,LOW,0,0,29,1.0,2.828174384435018,2,12,0,NORMAL,NO_ACTION,NO_ACTION
